"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"IJT","5100","2000-07-28","2020-11-03","0","NULL","NULL"
"IKNX","5748","1998-01-02","2020-11-03","38","2009-08-13","2018-11-01"
"ILG","2542","2008-08-12","2019-07-15","0","NULL","NULL"
"ILMN","5100","2000-07-28","2020-11-03","45","2009-07-21","2020-10-29"
"ILPT","708","2018-01-12","2020-11-03","11","2018-04-27","2020-10-28"
"IMAB","203","2020-01-17","2020-11-04","0","NULL","NULL"
"IMAC","439","2019-02-13","2020-11-06","4","2020-03-26","2020-11-12"
"IMACW","296","2019-02-13","2020-11-06","0","NULL","NULL"
"IMAX","5751","1998-01-02","2020-11-06","47","2009-05-07","2020-10-29"
"IMBI","5288","1999-11-01","2020-11-04","5","2019-08-28","2020-08-18"
"IMDZ","1184","2014-07-24","2019-06-28","18","2014-11-12","2019-03-13"
"IMGN","5748","1998-01-02","2020-11-03","46","2009-08-06","2020-11-06"
"IMH","5748","1998-01-02","2020-11-03","32","2010-08-16","2020-03-12"
"IMI","1971","2011-11-18","2019-09-20","30","2012-02-07","2019-08-08"
"IMKTA","5748","1998-01-02","2020-11-03","38","2009-08-03","2018-12-07"
"IMMP","2153","2012-04-17","2020-11-03","0","NULL","NULL"
"IMMR","5278","1999-11-12","2020-11-03","45","2009-05-04","2020-08-06"
"IMMU","5741","1998-01-02","2020-10-23","48","2009-05-11","2020-08-05"
"IMMY","2876","2007-09-28","2019-03-04","0","NULL","NULL"
"IMNP","3308","2006-01-05","2019-02-27","20","2013-11-20","2018-08-14"
"IMO","5748","1998-01-02","2020-11-03","44","2009-07-29","2020-10-30"
"IMOS","4876","2001-06-19","2020-11-03","39","2009-05-14","2018-11-08"
"IMPV","1803","2011-11-09","2019-01-10","0","NULL","NULL"
"IMRA","166","2020-03-12","2020-11-04","3","2020-05-07","2020-11-05"
"IMRN","857","2017-06-09","2020-11-03","0","NULL","NULL"
"IMRNW","543","2017-06-09","2020-11-03","0","NULL","NULL"
"IMTE","814","2017-08-11","2020-11-03","0","NULL","NULL"
"IMTX","88","2020-07-02","2020-11-04","0","NULL","NULL"
"IMTXW","88","2020-07-02","2020-11-04","0","NULL","NULL"
"IMUC","3501","2006-12-07","2020-11-03","22","2012-08-15","2018-08-13"
"IMUX","1653","2014-04-17","2020-11-06","5","2019-08-08","2020-11-05"
